	aip_longest_isoforms	nvec_longest_isoform	spis_longest_isoform_marker	xenia_longest_isoforms
Number of genes	22509	19231	24473	27190
Number of genes in orthogroups	20573	17443	21861	23755
Number of unassigned genes	1936	1788	2612	3435
Percentage of genes in orthogroups	91.4	90.7	89.3	87.4
Percentage of unassigned genes	8.6	9.3	10.7	12.6
Number of orthogroups containing species	13482	13080	13209	10066
Percentage of orthogroups containing species	78.8	76.4	77.2	58.8
Number of species-specific orthogroups	641	427	884	1413
Number of genes in species-specific orthogroups	2884	1787	4272	9781
Percentage of genes in species-specific orthogroups	12.8	9.3	17.5	36.0


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	3633	4035	3906	7049
'1	10530	11308	10524	7389
'2	1805	976	1373	1097
'3	510	335	457	481
'4	202	171	234	237
'5	131	83	169	175
'6	72	57	119	107
'7	53	34	70	79
'8	29	28	41	71
'9	31	16	41	41
'10	16	18	25	45
11-15	54	30	81	142
16-20	19	10	27	62
21-50	29	14	40	115
51-100	1	0	6	20
101-150	0	0	2	4
151-200	0	0	0	1
201-500	0	0	0	0
501-1000	0	0	0	0
'1001+	0	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	21.2	23.6	22.8	41.2
'1	61.5	66.1	61.5	43.2
'2	10.5	5.7	8.0	6.4
'3	3.0	2.0	2.7	2.8
'4	1.2	1.0	1.4	1.4
'5	0.8	0.5	1.0	1.0
'6	0.4	0.3	0.7	0.6
'7	0.3	0.2	0.4	0.5
'8	0.2	0.2	0.2	0.4
'9	0.2	0.1	0.2	0.2
'10	0.1	0.1	0.1	0.3
11-15	0.3	0.2	0.5	0.8
16-20	0.1	0.1	0.2	0.4
21-50	0.2	0.1	0.2	0.7
51-100	0.0	0.0	0.0	0.1
101-150	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0
'1	10530	11308	10524	7389
'2	3610	1952	2746	2194
'3	1530	1005	1371	1443
'4	808	684	936	948
'5	655	415	845	875
'6	432	342	714	642
'7	371	238	490	553
'8	232	224	328	568
'9	279	144	369	369
'10	160	180	250	450
11-15	674	371	1001	1801
16-20	333	177	482	1100
21-50	894	403	1205	3408
51-100	65	0	391	1380
101-150	0	0	209	477
151-200	0	0	0	158
201-500	0	0	0	0
501-1000	0	0	0	0
'1001+	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0
'1	46.8	58.8	43.0	27.2
'2	16.0	10.2	11.2	8.1
'3	6.8	5.2	5.6	5.3
'4	3.6	3.6	3.8	3.5
'5	2.9	2.2	3.5	3.2
'6	1.9	1.8	2.9	2.4
'7	1.6	1.2	2.0	2.0
'8	1.0	1.2	1.3	2.1
'9	1.2	0.7	1.5	1.4
'10	0.7	0.9	1.0	1.7
11-15	3.0	1.9	4.1	6.6
16-20	1.5	0.9	2.0	4.0
21-50	4.0	2.1	4.9	12.5
51-100	0.3	0.0	1.6	5.1
101-150	0.0	0.0	0.9	1.8
151-200	0.0	0.0	0.0	0.6
201-500	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0
